city_id,name_fa,name_en,province_id,latitude,longitude
1,تهران,Tehran,8,35.6892523,51.3896004
2,اصفهان,Isfahan,4,32.6707877,51.6650002
3,قزوین,Qazvin,18,36.2804074,50.006663
4,جندق,Jandaq,4,34.0422837,54.4150165
5,رینه,Rineh,27,35.8819792,52.1697254
6,همدان,Hamadan,30,34.7992888,48.5152464
7,نظرآباد,Nazarabad,5,35.9558897,50.6097443
8,آبیک,Abyek,18,36.0416927,50.5320519
9,محمدیه,Mohammadiyeh,18,36.2255821,50.1878041
10,اردبیل,Ardabil,3,38.2515581,48.2972269
11,لوشان,Lowshan,25,36.6279334,49.5162305
12,رستم آباد,Rostam Abad,25,36.897394,49.4915717
13,خسروشاه,Khosrowshah,1,37.9513096,46.0509259
14,صوفیان,Sufian,1,38.27694,45.981373
15,شوش,Shush,13,32.2003687,48.2489839
16,دورود,Dorud,26,33.4992998,49.0529575
17,کرمانشاه,Kermanshah,22,34.3239414,47.0735891
18,مراغه,Maragheh,1,37.3913128,46.2435751
19,بناب,Bonab,1,37.3409239,46.050471
20,آذرشهر,Azarshahr,1,37.7576638,45.9781014
21,کرمان,Kerman,21,30.2924085,57.0645647
22,بوشهر,Bushehr,7,28.9310786,50.8458443
23,خوی,Khoy,2,38.5504343,44.95354
24,مسجد سلیمان,Masjed Soleyman,13,31.9461316,49.3013154
25,زنجان,Zanjan,14,36.6700041,48.4795399
26,قره ضیاءالدین,Qaraziadin,2,38.8900366,45.0282295
27,سلماس,Salmas,2,38.1969035,44.7685015
28,هادیشهر,Hadishahr,1,38.8416756,45.6648065
29,بستان آباد,Bostanabad,1,37.8429496,46.8339774
30,تیکان تپه,Takab,2,36.4007658,47.1117125
31,رویان,Royan,27,36.5696172,51.9622645
32,پارس آباد,Parsabad,3,39.6461735,47.918551
33,قروه,Qorveh,20,35.1679005,47.800886
34,اشنویه,Oshnaviyeh,2,37.0418235,45.0983499
35,بازرگان,Bazargan,2,39.3886668,44.3876859
36,زرقان,Zarqan,17,29.774274,52.7215709
37,قطرویه,Qatruyeh,17,29.1461299,54.7027042
38,ماهان,Mahan,21,30.0536359,57.2883027
39,آباده,Abadeh,17,31.1627056,52.6490454
40,فرخی,Farokhi,4,33.844903,54.9470758
41,طالقان,Taleqan,5,36.177868,50.7655155
42,امیدیه,Omidieh,13,30.7568821,49.7017752
43,هرمز,Hormuz,29,27.0955031,56.452739
44,کنارک,Konarak,16,25.3604865,60.3981155
45,مهدی شهر,Mahdishahr,15,35.7108029,53.3555769
46,شهمیرزاد,Shahmirzad,15,35.7735069,53.3279767
47,درجزین,Darjazin,15,35.6539439,53.3379876
48,بندر ترکمن,Bandar-e Torkaman,24,36.8929175,54.0697204
49,گمیش‌تپه,Gumish Tappeh,24,37.0701316,54.0770395
50,مینودشت,Minudasht,24,37.2288889,55.3747222
51,آزادشهر,Azadshahr,24,37.0875125,55.1725639
52,میرجاوه,Mirjaveh,16,29.0149246,61.4540744
53,بسطام,Bastam,15,36.4828385,55.0010241
54,میامی,Mayamey,15,36.4086479,55.6545685
55,آلاشت,Alasht,27,36.066319,52.8366338
56,بادرود,Badrud,4,33.6916541,52.0076895
57,گرمسار,Garmsar,15,35.2221321,52.3385276
58,دیهوک,Deyhuk,10,33.2914689,57.5174149
59,کاریز,Kariz,11,34.8127778,60.8241667
60,نکا,Neka,27,36.6511824,53.2965182
61,عسلویه,Asalouyeh,7,27.4760027,52.6070411
62,عبدل آباد,Abdolabad,11,35.0668873,58.7966931
63,کبودرآهنگ,Kabudar Ahang,30,35.2083683,48.7242053
64,راسک,Rasak,16,26.2368044,61.3987716
65,اسلام آباد غرب,Eslamabad-e Gharb,22,34.1132923,46.5257463
66,اسدآباد,Asadabad,30,34.7825885,48.1217832
67,طالخونچه,Talkhuncheh,4,32.2661882,51.5639295
68,ازنا,Azna,26,33.4568272,49.4537204
69,بوئین زهرا,Boinzahra,18,35.7679957,50.0579667
70,توس,Toos,11,36.4833014,59.5169387
71,نودشه,Nowdeshah,22,35.1808,46.2544
72,پاوه,Paveh,22,35.0458307,46.3622191
73,ابرکوه,Abarkuh,31,31.1324814,53.2803103
74,صفاشهر,Safashahr,17,30.6114269,53.1912987
75,قادرآباد,Qaderabad,17,30.2742465,53.2686602
76,دامغان,Damghan,15,36.167451,54.3379993
77,مزرج,Mazerj,11,37.1511237,58.5506676
78,گناباد,Gonabad,11,34.3528343,58.6832352
79,کرد کوی,Kord Kuy,24,36.792383,54.1127036
80,علی آباد کتول,Aliabad-e Katul,24,36.9083415,54.8675871
81,سرعین,Sareyn,3,38.1493746,48.0746208
82,گلبهار,Golbahar,11,36.5725497,59.1966264
83,سردشت,Sardasht,2,36.1553184,45.4799637
84,کلیبر,Kaleybar,1,38.8629817,47.0399693
85,رضوانشهر,Rezvanshahr,4,32.7031948,51.104972
86,تاکستان,Takestan,18,36.0726006,49.6937027
87,رباط سنگ,Robat Sang,11,35.5460635,59.1938079
88,خضری دشت بیاض,Khezri Dasht Beyaz,10,34.0216542,58.8140837
89,بیدخت,Bidokht,11,34.3463245,58.7573243
90,نشتیفان,Nashtifan,11,34.4337222,60.1777943
91,نهبندان,Nehbandan,10,31.5431543,60.0349456
92,سربیشه,Sarbisheh,10,32.5755743,59.7970516
93,اسفدن,Esfeden,10,33.6446129,59.7784177
94,جاجرم,Jajrom,12,36.9499996,56.3792939
95,گرمه,Garmeh,12,36.9870347,56.2888872
96,دالکی,Dalaki,7,29.4307486,51.2925138
97,بندر گناوه,Bandar Ganaveh,7,29.5818086,50.5183165
98,بندر دیلم,Bandar Deylam,7,30.0529363,50.162503
99,بندرگز,Bandar-e Gaz,24,36.7719958,53.9481369
100,لالجین,Lalejin,30,34.9746055,48.4750848
101,رامیان,Ramian,24,37.0150484,55.1424163
102,گلوگاه,Galugah,27,36.7283914,53.8088538
103,رحیم آباد,Rahimabad,25,37.0314749,50.326393
104,ایزدشهر,Izadshahr,27,36.5987867,52.135172
105,فریدونکنار,Fereydunkenar,27,36.6830883,52.5217808
106,کلاچای,Kala Chay,25,37.0769158,50.3971953
107,خرم آباد,Khorramabad,27,36.781374,50.8727556
108,امیرکلا,Amirkola,27,36.6001749,52.6625614
109,تنکابن,Tonekabon,27,36.8154324,50.8787003
110,سرخرود,Sorkhrud,27,36.6712757,52.4492344
111,رودبنه,Rudboneh,25,37.2548508,50.0039032
112,واجارگاه,Vajargah,25,37.03829,50.4058965
113,چابکسر,Chaboksar,25,36.9743391,50.57079
114,مرزداران,Mazdavand,11,36.1557394,60.5291811
115,سید آباد,SeyedAbad,11,36.7472731,58.9570591
116,رامهرمز,Ramhormoz,13,31.2780254,49.6020152
117,آغاجاری,Aghajari,13,30.6995647,49.8285336
118,هشتگرد,Hashtgerd,5,35.9641824,50.6858036
119,سیراف,Bandar Siraf,7,27.664912,52.3480157
120,جم,Jam,7,27.8262811,52.3263597
121,تازه شهر,Tazeh Shahr,2,38.1751182,44.6915009
122,بایگ,Bayg,11,35.3756395,59.0389376
123,صغاد,Soqad,17,31.1915603,52.5155699
124,دوگنبدان,Dogonbadan,23,30.35695,50.7939174
125,الوند,Alvand,18,36.1865866,50.064134
126,اشتهارد,Eshtehard,5,35.7234469,50.3670608
127,مینوشهر,Minooshahr,13,30.3534226,48.2170496
128,زاغه,Zagheh,26,33.4999202,48.7059909
