village_id,name_fa,name_en,city_id,latitude,longitude
1,ابیانه,Abyaneh,522,33.5865097,51.5908576
2,چاه ملک,Chāh Malek,40,33.7533024,54.7001524
3,چوپانان,Chopanan,4,33.6170605,54.3777065
4,ابرغن,Abarghan,70,36.4448238,59.5655311
5,کلاته تیموری,Kalāteh-ye Teymuri,70,36.4538162,59.5671331
6,فرحزاد,Farahzad,40,34.0953997,54.7852689
7,کنویست,Kenevist,70,36.2917397,59.8226421
8,عارفی,Arefi,364,36.130312,59.5217074
9,حصار,Hesar,70,36.3063743,59.4043918
10,نغندر,نغندر,404,36.3560252,59.2987417
11,گَلَند,Galand,269,37.0322682,55.0312314
12,صدخرو,Sad Kharv,535,36.3075666,57.0739141
13,کاهک,Kahak,544,36.3528276,56.7746922
14,حاجی آباد,"Hajjiabad, Taybad",59,34.697011,60.8682981
15,دیزباد پائین,Dizbad-e Pa'in,364,35.9609477,59.2139328
16,ساحل برج,Sahel Borj,461,36.1308679,59.0068503
17,مهنه,Mahneh,62,34.9877465,58.8456166
18,ازغند,Azghand,62,35.2676975,58.8052762
19,نای,Nay,62,35.2735151,58.7139277
20,فرشه,Forsheh,62,35.2710611,58.7515462
21,حیط,Hit,571,26.4015851,61.2956996
22,فیروز آباد,Firuz Abad,64,26.2864903,61.4211346
23,زاغمرز,Zaghmarz,540,36.8059885,53.3040689
24,فشم,Fasham,227,35.9300601,51.5263647
25,گنبدواز,Gonbadvaz,70,36.4568343,59.5879269
26,روستای لک لک,روستای لک لک,70,36.4254499,59.6153546
27,ورا,Vara,71,35.1372157,46.3010151
28,داریان,Daryan,71,35.1393379,46.3183468
29,صمان,Somman,547,36.3360426,58.3175694
30,معدن گوین کوه,Suzandeh,501,36.3992352,58.1043907
31,امامقلی,Emamqoli,77,37.4050294,58.5179947
32,گرمه,Garmeh,438,33.5262879,55.0397342
33,امیرآباد,Amirabad,40,34.0430599,54.7961058
34,احمدآباد,Ahmadabad,70,36.2325705,59.884489
35,حشمت آباد,Heshmatabad,87,35.5698859,59.2596901
36,اسدآباد,AsadAbad,546,35.6308344,59.3584721
37,رباط سفید,Robat Sefid,364,35.7837101,59.3889132
38,اخلمد,Akhlamad,115,36.5948951,58.9461439
39,خرکرد,Khargerd,90,34.5369065,60.1787798
40,سراب,Sarab,90,34.7280959,60.0469062
41,رزدآب,Rezdab,483,34.8107161,60.1218807
42,چهار ده,Chahar Deh,90,34.6929647,60.034315
43,مندیوان,mandivan,483,34.7786891,60.0919278
44,جاغرق,Jaghargh,404,36.3131913,59.3221053
45,گلستان,Golestan,70,36.3196553,59.4073761
46,ویلاشهر,Vilashahr,70,36.336077,59.4367866
47,ازغد,Azghad,252,36.1997815,59.3378644
48,حصار,Hesar,364,36.0446835,59.2420681
49,دیزباد بالا,Dizbad-e Bala,364,36.1012114,59.2836779
50,جیم آباد,Jimabad,247,36.1054968,59.76794
51,سالار آباد,Salarabad,70,36.2317107,59.7608316
52,اسماعیل آباد,Esmail Abad,70,36.4252113,59.5105057
53,قصر,Qasr,70,36.3820959,59.6991339
54,برقی,Barqi,70,36.3954471,59.691053
55,قرقی,Qorqi,70,36.408901,59.6752357
56,میر نبگش,Mir Nabgesh,70,36.212393,59.8429938
57,خادم آباد,Khademabad,70,36.2172208,59.8065238
58,تنگل شور پائین,تنگل شور پائین,70,36.2169246,59.889747
59,چاهک,Chahak,114,36.0377758,60.1278329
60,آبروان,Aberavan,247,36.0768497,59.9757406
61,گاوبرج,Gavborj,114,36.0373124,60.215643
62,شورک ملکی,Shoorak Maleki,114,36.0695157,60.2233007
63,خار زار,Khar zar,114,36.0468502,60.1865903
64,قره سو,Gharasoo,480,36.9714801,59.6807899
65,ینگی قلعه,Yengeh Qal‘eh,480,37.3597534,59.0629125
66,جوادیه,Javadiyeh,87,35.5898309,59.1238983
67,فدیهه,Fadiheh,122,35.3799013,58.9219709
68,سرخ آباد,Sorkhabad,122,35.3136552,59.0505989
69,رود معجن,Roodmajan,122,35.4410235,58.8329323
70,حصار,Hesar,122,35.420742,58.8044365
71,برس,Bors,87,35.5887455,58.9537903
72,رقیچه,Roqicheh,87,35.5989041,59.0440758
73,کمال آباد,Kamalabad,125,36.1418549,50.0570543
74,عباس آباد,Abasabad,350,38.0184194,48.5240475
75,بیدک,Bidak,39,31.068379,52.7710828
76,میمه,Meymeh,424,33.2280492,46.919563
77,خیر آباد,Kheyrabad,70,36.3143179,59.8713957
78,قاسم آباد,Qasemabad,70,36.2989955,59.8782631
79,شترک,Shotorak,70,36.3188972,59.7237241
80,حاجی آباد ملایعقوب,حاجی آباد ملایعقوب,430,35.0927922,60.8778185
81,اسکندری برآفتاب,Eskandarī,434,32.8274446,50.4372025
82,خویگان سفلی,Khoygan-e Sofla,293,32.8333586,50.3760911
83,ننادگان,Nanādegān,293,32.8474928,50.3503419
84,خورنگان,Khoorangan,362,28.7987304,53.8140267
85,امام تقی,Emam Taqi,364,35.9634923,59.4415004
86,بازه حوض بالا,Baz Howz-e Bala,364,36.0550933,59.5597705
87,آغنج,Aghanj,364,36.0948807,59.5512661
88,بزوشک,Bozvishak,364,36.0798621,59.4339783
89,مغان,Moghan,364,36.137319,59.3790106
90,احمدآباد,Ahmadabad,396,36.7794664,46.4395541
91,ده سرخ,Deh Sorkh,364,36.0456989,59.4575471
92,داس,Das,252,36.1669608,59.0883362
93,کوشان,Kushan,252,36.0579761,59.1428692
94,باغشن,Baghshan,252,36.0775366,59.1095425
95,حریم آباد,Harimabad,252,36.1101567,59.1148112
96,باز حیدر,Baz-e Heydar,252,36.0468363,59.2073973
97,نو بنیاد,Now Bonyad,252,36.0402416,59.1457169
98,سخدر,Sakhdar,252,36.1120438,59.0863805
99,قلعه وزیر,Qaleh Vazir,252,36.0235786,59.1777486
100,دانه کاشفیه,دانه کاشفیه,252,36.0635987,59.1254862
101,اسدآباد,Asadabad,461,36.1172783,59.0492622
102,پوست فروش,Pust Forush,461,36.1195273,59.0607584
103,عبدالله آباد,عبدالله آباد,461,36.1012832,58.9675716
104,دولت آباد,Dolatabad,402,36.082688,59.0307185
105,دستجرد آقابزرگ,Dastjerd Agha Bozorg,402,36.0765764,58.9767219
106,دوغ آباد,Dooghabad,62,35.084742,58.8548732
107,بزد,Bezd,429,35.2115783,60.4424816
108,گلسرا,Golsara,546,35.3709315,59.5147511
109,بالندر,Balendar,364,36.1390987,59.4740136
110,عنبران,Anbaran,70,36.3106973,59.3467066
111,سرهنگ,Sarhang,87,35.6540583,59.2641824
112,گرماب,Garmab,87,35.7055719,59.2424531
113,شیرتپه,Shirtappeh,250,36.1130422,61.2057137
114,معصوم آباد,Ma'sumabad,364,35.9291943,59.4018292
115,اسلام قلعه,Eslam Qaleh,364,35.8760948,59.4243957
116,یوسف آباد,Yusefabad,402,36.0578623,59.0003167
117,قادرآباد,Qaderabad,249,34.7366667,60.5416667
118,سمنگان,Samangan,249,34.8433333,60.4552778
119,جوزقان,Jowzeqan,249,34.7702778,60.4644444
120,سوران,Suran,249,34.8155556,60.3436111
121,تونه,Tunah,249,34.8633333,60.3844444
122,سیه لاخ,Siah Lakh,249,34.9034725,60.3337228
123,نوبهار کردیان,Nowbahar Kordian,249,34.9230244,60.3519554
124,پل بند,Pol-e Band,249,34.8947222,60.5741667
125,گندم شاد,Gandom Shad,249,34.9094501,60.4016729
126,کلاته خونی,Kalateh Khuni,483,34.9785831,60.3497211
127,بیدک,"Bidak, Taybad",249,34.8384271,60.4199308
128,پساوه,Pasaveh,249,34.7086111,60.5069444
129,کهجه,Kahjah,249,34.7682543,60.3834586
130,اشتیوان,Eshtivan,249,34.945996,60.39425
131,خواجه بیگ,Khajeh Beyg,249,34.8948241,60.3615496
132,سرخ سرا,Sorkh Sara,249,34.8267034,60.4659401
133,نصرت آباد,Nosratabad,249,34.9183017,60.45763
134,چهار برجی,Chahar Borji,249,34.7533333,60.6161111
135,حسینی,Hoseyni,249,34.7797222,60.4280556
136,استای,Ostad Bakharz,249,34.8364863,60.3053461
137,زرمهر,Zarmehr,122,35.2306618,58.9821686
138,خوشدره,خوشدره,122,35.2422266,58.9578614
139,قلعه جوق,Qaleh Joq,122,35.2985489,58.9504942
140,گونجوک علیا,گونجوک علیا,364,35.8202631,59.2415068
141,سلطان آباد,Soltanabad,364,35.9069131,59.2893812
142,بازه حور,Baze Hoor,364,35.7897357,59.3714083
143,شوراب نوسازی,Shurab-e Nusazi,89,34.3666667,58.8516667
144,بیلند,Biland,78,34.3916667,58.7005556
145,قوژد,Quzhd,403,34.4152778,58.7377778
146,ریاب,Riab,78,34.3491667,58.6308333
147,رهن,Rahn,78,34.3355922,58.6491411
148,زیبد,Zibad,78,34.2763889,58.4875
149,زشک,Zoshk,404,36.335812,59.1963939
150,کنگ,Kang,404,36.3198782,59.2244708
151,کاهو,Kahu,404,36.4435476,59.2054098
152,اسجیل,Esjil,404,36.4515897,59.1576332
153,دولت آباد,Dolatabad,404,36.4371492,59.1666169
154,احمدآباد,Ahmadabad,404,36.4843375,59.2106358
155,گراخک,Gorakhk,404,36.415966,59.2444676
156,اصفهک,Esfahak,58,33.3883713,57.1915397
157,سرخ آباد,Sorkhabad,6,34.8281137,48.6359897
158,فروتقه,Forutaghe,62,35.220008,58.4991062
159,فدافن,Fadafen,62,35.2048262,58.4962986
160,عارف‌آباد,Arefabad,62,35.2052728,58.5485017
161,رزق‌آباد,Rezqabad,62,35.226781,58.5349226
162,مغان,Moqan,62,35.2307506,58.4263756
163,کسرینه,Kasrineh,62,35.2567892,58.3997166
164,حاجی‌آباد,Hajiabad,62,35.2569522,58.3857805
165,سرحوضک,Sarhozak,62,35.2641379,58.3764977
166,محمدیه,Mohammadieh,62,35.2617514,58.3608382
167,رودبار,Rudbar,263,36.9044444,55.3216667
168,وطن,Vatan,263,36.9747222,55.2702778
169,فارسیان,Farsian,263,36.9441667,55.42
170,تیل آباد,Tilabad,538,36.9122222,55.4725
171,باغستان,باغستان,92,32.7622661,59.7651249
172,شیرگ اقا,شیرگ اقا,92,32.7734342,59.7713826
173,پخت,پخت,92,32.5816206,59.6220883
174,شورستان,شورستان,92,32.5363733,59.651
175,اسفیج,اسفیج,92,32.5611657,59.5435614
176,فال,فال,92,32.5335347,59.529066
177,کلات سلیمان,کلات سلیمان,92,32.5339849,59.4787682
178,رزق,رزق,92,32.5809553,59.4764633
179,هریوند,هریوند,92,32.6229028,59.4828204
180,فنود,فنود,92,32.6524227,59.4910434
181,دهشیب,دهشیب,92,32.6497572,59.5253809
182,شواکند,شواکند,92,32.6446225,59.5131642
183,گز,گز,92,32.5958211,59.3507062
184,اصغول,اصغول,92,32.6185738,59.3351029
185,مختاران,مختاران,92,32.4687059,59.3816708
186,چاه پنج تن آل عبا,چاه پنج تن آل عبا,92,32.5610916,59.1767953
187,تقی آباد,تقی آباد,92,32.5483619,59.1137697
188,اصغریه,اصغریه,92,32.5549917,59.151181
189,کاخک,کاخک,92,32.5679343,59.0542785
190,گیو,گیو,92,32.5599296,59.2483122
191,حیدرآباد,حیدرآباد,91,31.0264197,60.0877732
192,نوغاب,نوغاب,175,32.9819454,59.9205416
193,کنگان,کنگان,92,32.6832096,59.8725213
194,سولان,سولان,6,34.8256349,48.429963
195,حیدره بالای شهر,حیدره بالای شهر,6,34.8018682,48.4575567
196,سهل آباد,سهل آباد,92,32.1743407,59.8552594
197,چشین,چشین,6,34.7463807,48.552565
198,تفریجان,تفریجان,6,34.7622841,48.5774385
199,یلفان,یلفان,6,34.7362314,48.610769
200,درمیان,Darmian,175,32.836832,59.9023026
201,سرو,سرو,175,32.878006,59.9777334
202,مرک,Marak,422,32.9220468,59.428321
203,فورگ,Forg,175,32.844397,59.948747
204,اسفزار,اسفزار,422,32.8658472,59.6300112
205,ارویج,Arvij,422,32.9328537,59.5552921
206,اشتاخو,Ashtakhu,422,32.9150091,59.5908447
207,رقیه آباد,Roghye Abad,422,32.9456496,59.5569844
208,القار,Elghar,422,32.9151032,59.5362537
209,فیزیک,فیزیک,422,32.9811298,59.6670014
210,زارگز,زارگز,422,32.9786508,59.692123
211,مسک,مسک,422,32.9721763,59.7148318
212,رهنیشک,Rahnishk,422,32.9610981,59.4601787
213,بزقوچ پایین,بزقوچ پایین,422,32.9987957,59.4404438
214,رباط شورین,Robat-e Sheverin,6,34.86145,48.5998909
215,ربیان,Rabian,422,32.9749584,59.442364
216,ده پیاز,ده پیاز,6,34.8792146,48.5145542
217,ارزان فود,ارزان فود,448,34.6538374,48.6529653
218,کلاته بجدی,Kalateh Bojdi,255,32.9473477,59.2962562
219,خانکوک,Khanekuk,702,34.0300502,58.1121219
220,مزده,Mazdeh,62,35.2657889,58.268749
221,دهنو,Dehnow,62,35.2494848,58.3035825
222,ارغا,Arqa,62,35.2353605,58.218669
223,نصرآباد,Nasrabad,62,35.2492214,58.2664053
224,سعدالدین,Sa'doldin,62,35.0218817,58.1140043
225,مهدی آباد,Mahdiabad,62,35.0387479,58.1216068
